userId,recipeId,name,rating
5818,4425,4TTBFAXLU,3
3357,1942,SV0W,2
1431,7196,D28AB,2
2358,3234,MFETFN4H,3
1553,447,UDG7,3
3743,6055,T1,5
4070,655,WYFK,1
323,8813,AXNH4LX16,5
6445,7086,9AL,2
8581,4895,FO9CESS6U,2
4082,9597,N3AAD,1
4509,1313,5Q201S6,2
9446,6885,LMEFZ2,5
64,3482,SM9MC6SM,1
2918,9067,BA8L,5
1198,9919,MPG,1
4891,1267,WCA0,1
3474,2658,PGANK2W70X,1
9249,8154,XA8QW0,3
1209,6411,I9UHS,3
2697,627,DIF8,1
3408,2461,L4BNPKRZ4,4
8607,7114,6F3,2
5764,9155,CB,1
5606,5810,427AYQD,2
2946,9668,Z,4
2420,9759,VBUC,2
3841,7329,ZWOX,4
7301,1410,UE,4
3329,2777,JGYW,1
5459,2083,DB59X,2
8535,6567,M0ZW8IAV,2
2273,9400,1T8IOXZRE,3
1723,3665,UH4V,4
3196,5186,I90HLBAD0G,3
2908,9801,UFY6Y3,1
7273,7574,4A,1
781,8788,MH2,5
3684,5936,FSBO9LXMB,3
3096,4371,IQMXB9C2,4
1877,147,1498,4
527,7995,PIU,4
2747,6924,CRJE1,2
2412,2220,SAJI4U,4
8141,3854,QMS,4
9450,9161,ML45,3
2067,7049,E,2
6881,8019,P,2
8284,5564,OKOO,4
8479,4241,8T4,2
4911,6093,KIURPSQ7,5
5853,2761,P6TDJ9IN,1
7374,7627,S,2
6206,9306,B1C,2
2756,1512,P8E00,2
4260,2180,LW,5
2722,7144,D,1
6637,1855,K4YDGH,3
6982,8426,6,5
2630,795,6IBB,5
3196,3537,V,3
1717,8647,SC8N3,2
9850,7362,8OCF,3
8423,5251,L1,4
379,4713,3VVEIVCQ,3
3892,2191,S,1
8127,6921,X,4
4080,9696,7PHWTVG,2
3510,8422,LMR17SZ,3
7491,8069,W,3
2471,7727,552XIC,3
4459,7548,VVKUJ,5
6663,2885,WMZWXV,4
1857,5111,Y7E,1
1630,7462,V3YAZ9L9,3
3521,985,J,4
7600,2012,T0UZUEK,5
4021,7187,79R,5
6696,5824,2,2
2652,5924,KX1GQS,3
3492,4842,S5BWTWQC2,4
8108,2608,X1,4
8068,9199,MYELNF,5
5852,3842,XUE3AD,4
8219,3979,03BAP5BD,1
4386,3201,KQ2,1
9298,9949,NLDHG,3
3435,9765,6MG,1
8145,5701,XCZ5Q8KH4,2
6868,4997,J,5
6860,4027,JR,3
1216,5650,G53D3,4
5831,4743,51Z,4
8366,7397,599X,5
7058,4202,5XF,2
711,6559,CC2SW,5
8384,8363,3X1ZBTCX,1
4365,9993,F1NN251H,1
7760,1792,AVKY4NY,4
1586,1672,1GDS,5
4101,6757,D7IB1,2
6887,969,4E46R,4
1880,2862,BA6PP,3
9445,770,G5TNDMSVG0,4
7522,2778,T,4
5968,9529,G9DLBHJPDZ,3
2852,7644,D,2
86,9625,W,4
7048,4526,UVW8WGWD0,2
6208,403,D4A9RR,1
3751,9257,N1F,1
9129,6098,GYLDQV2Y1B,5
651,8894,9XL,2
768,8420,JLJA54E1E,4
5662,2865,HL0W7,3
2286,3198,II73768I,3
3737,7717,EGL,4
9238,9456,CBKNB,1
9141,9438,EAQ,3
4738,7774,YU6PGAZ5QF,1
4648,864,KBY,4
6317,4751,KNPGNJ1KG,1
5130,2444,XJ5CY,3
2230,6620,7XQG,1
5858,1474,Q22NUI9OW,3
4826,7804,PRMHD34V,1
5362,7055,CU,5
630,5297,QRVTPA,5
2728,2864,XYVXJNM,4
3676,8871,I67P,3
3157,4905,L2CI2EX,1
3813,4095,LK15S,3
3387,134,TUTOT31S8L,4
8991,4853,DC,5
7022,3,IRY9BXQ,3
5065,7954,CZ1OO5,3
2507,9636,0EG3NZVY7D,1
4256,1266,TS0W1Z9EL,1
6743,2330,YHQ6B,1
678,2890,93UQQ4J,2
78,9905,MA5VF,1
8754,1654,0976WH,3
3840,8443,DFAU,2
4405,2995,ZLJZN,2
2954,7712,FOWHW1SQ,1
8637,5463,QXHE0LRHB,4
7940,1718,GYBIJW7,4
376,8174,4,4
7610,525,DD2,2
1584,5302,ORTW,3
6148,4299,ESEQ,5
6212,4579,LNEBV,3
2547,3810,LI,4
8000,1113,5,1
2203,1650,K,1
9817,7342,W,2
2181,7057,Q,3
9206,1395,D2OT,2
4249,8513,J75LM,1
7561,9509,CC,2
6076,378,I7B0,5
6316,742,12G,5
6454,5533,2FNNMI,2
1048,2475,58,1
363,4363,VXGMTY,4
2093,273,UL62HLL5,5
