userId,recipeId,name
3526,197,Chilled Prune Whip
5142,34,Christmas Logs
2395,174,Company Cabbage
4580,103,Minestrone Soup
8997,127,Hot Crab Dip
7382,105,Chicken and Shrimp Cantonese
4109,149,Catalina Chicken Stir Fry
4747,28,Upside Down Cake
471,132,Beef Scallops with Fresh Tomato Sauce
4122,16,Orange-Poppy Seed Pound Cake
6258,137,Beef Stroganoff
5160,110,Chinese Fried Rice
1833,14,Oatmeal Cake
6193,218,Pasta Primavera
2829,13,My Best Gingerbread
7982,30,Bourbon Balls
3554,204,Beef Spinach Quiche
9799,215,Fum Gum
113,149,Catalina Chicken Stir Fry
5801,21,Refrigerator Cheesecake
7223,172,Bit O' Zucchini Bites
3555,172,Bit O' Zucchini Bites
8673,136,Teriyaki Steak
3553,118,Sweet and Sour Meatballs
8042,145,Sweet and Sour Pork
3159,103,Minestrone Soup
1412,173,Cheesy Spinach Bake
8375,118,Sweet and Sour Meatballs
9912,181,Mushrooms in Sour Cream
8994,210,Chili Chicken
1384,84,Heavenly Cheese Salad
5202,167,Spicy Singapore Wings
8521,162,Oven Fried Chicken
9187,114,Scallops
3469,203,Beef Enchiladas
2101,126,Sole Almondie
6932,125,"""Louies"" Linguini with Clam Sauce"
5647,51,Soft Sugar Cookies
9136,163,Parsley and Parmasen Baked Chicken
1593,205,Broccoli and Rice Casserole
3621,219,Ranch-style Baked Beans
8125,23,Special Prune Cake*
8117,210,Chili Chicken
5532,192,Three Cheese Spinach
8915,193,Tulelake Potato Casserole
343,201,Artichoke-Mozzarella Casserole
1921,189,Summer Squash
7526,159,Jack Zucchini Chicken
4849,221,Sour Cream Enchiladas
9742,165,Saute'd Chicken Breats
134,1,Banana Cake
8774,68,Sour Cream Raisin Pie
9821,6,Fresh Apple Cake
1267,98,Cleo's Clam Chowder
8286,16,Orange-Poppy Seed Pound Cake
9529,44,Oatmeal Cookies
4414,75,Broccoli Salad with Pineapple
7860,172,Bit O' Zucchini Bites
2402,111,Chinese Pepper Steak
4053,44,Oatmeal Cookies
3199,179,Green Beans Salerno
7511,203,Beef Enchiladas
5305,32,Chocolate Peanut Brunch Bars
6864,63,Peach Almond Pie
2204,88,Pea Salad
279,205,Broccoli and Rice Casserole
4383,169,Asparagus Stir-Fried
755,137,Beef Stroganoff
4903,150,Chicken Breasts Florentine
611,31,Chocolate Crisp Bran Cookies
5683,203,Beef Enchiladas
5333,7,Fresh Pear Cake
961,134,Savory Goulash
2836,215,Fum Gum
3242,170,Baked Green Beans
